年度,時間割コード,Score
2017,1G195,5
2017,1G220,0
2017,1G311,3
2017,1G418,2
2017,1G440,2
2017,1G707,4
2017,1G8H3,3
2017,1H008,3
2017,1H033,4
2017,1H047,5
2017,1H051,2
2017,1H052,5
2017,1H055,4
2017,1H062,4
2017,2H008,5
2017,2H031,2
2017,2H033,5
2017,2H036,4
2017,2H051,2
2017,2H052,5
2017,2H059,0
2017,2U025,0
2017,2U121,4
2017,2U125,2
2017,2U195,4
2017,2U224,4
2017,2U317,3
2017,2U418,4
2017,2U436,4
2017,2U702,4
2017,3G022,5
2017,3G108,4
2017,3G224,5
2017,3G267,4
2017,3G418,2
2017,3G440,4
2017,3G643,2
2017,3H035,5
2017,3H037,2
2017,3H058,5
2017,3H060,2
2017,3H065,4
2017,3H073,4
2017,4H035,4
2017,4H037,0
2017,4H039,2
2017,4H058,5
2017,4H060,5
2017,4H065,5
2017,4H071,5
2017,4U018,4
2017,4U021,4
2017,4U095,4
2017,4U224,5
2017,4U267,4
2017,4U417,2
2017,4U437,4
2018,1H065,5
2018,1H067,4
2018,1H079,5
2018,1H345,2
2018,1H348,4
2018,1H376,0
2018,1H385,2
2018,1H386,5
2018,1H402,4
2018,1U024,5
2018,1U056,4
2018,1U082,5
2018,1U101,0
2018,1U109,4
2018,1U243,4
2018,2H035,5
2018,2H079,5
2018,2H091,4
2018,2H345,4
2018,2H348,5
2018,2H353,4
2018,2H376,5
2018,2H385,5
2018,2H386,2
2018,2H390,4
2018,2H403,4
2018,2U025,2
2018,2U073,5
2018,2U106,4
2018,2U109,0
2018,3H337,4
2018,3H357,5
2018,3H361,5
2018,3H380,2
2018,3H381,5
2018,3H383,4
2018,3H384,5
2018,3H387,5
2018,3H438,5
2018,3U034,2
2018,3U062,4
2018,3U107,4
2018,4H357,5
2018,4H380,0
2018,4H383,2
2018,4H438,5
2018,4U024,5
2018,4U067,5
2018,4U110,5
2019,1H077,4
2019,1H341,4
2019,1H347,5
2019,1H351,5
2019,1H358,4
2019,1H422,5
2019,1U033,5
2019,2H052,5
2019,2H077,2
2019,2H327,5
2019,2H351,4
2019,2H358,4
2019,2H422,5
2019,2U078,2
2019,3HG01,3
2019,3HG03,3
2019,3HG05,3
2019,3H078,2
2019,3H378,4
2019,3HA51,4
2019,3U101,0
2019,4H027,4
2019,4H078,4
2019,4H378,0
2019,4HA51,5
2020,1HA51,5
2020,2HA51,5
