,年度,時間割コード,Score
0,2018,2H304,0
1,2018,1H007,0
2,2018,1H021,3
3,2018,1H022,6
4,2018,1H046,6
5,2018,1H301,9
6,2018,1U193,6
7,2018,1U223,2
8,2018,1U310,6
9,2018,1U486,2
10,2018,1U514,3
11,2018,1U713,3
12,2018,1U8H3,0
13,2018,2H020,3
14,2018,2H022,6
15,2018,2H035,6
16,2018,2H051,3
17,2018,2H301,3
18,2018,2H302,3
19,2018,2H310,3
20,2018,2U026,3
21,2018,2U029,0
22,2018,2U102,3
23,2018,2U105,6
24,2018,2U193,2
25,2018,2U223,6
26,2018,2U310,6
27,2018,2U486,2
28,2018,2U514,6
29,2018,2U713,9
30,2018,3H023,3
31,2018,3H026,6
32,2018,3H303,3
33,2018,3H314,6
34,2018,3H315,6
35,2018,3H316,6
36,2018,3H326,2
37,2018,3U022,9
38,2018,3U111,9
39,2018,3U115,6
40,2018,3U195,6
41,2018,3U223,2
42,2018,3U486,3
43,2018,3U514,6
44,2018,3U679,3
45,2018,4H026,6
46,2018,4H029,6
47,2018,4H303,3
48,2018,4H314,6
49,2018,4H315,3
50,2018,4H316,6
51,2018,4H324,6
52,2018,4U022,9
53,2018,4U036,2
54,2018,4U113,3
55,2018,4U195,6
56,2018,4U223,3
57,2018,4U486,3
58,2018,4U514,6
59,2018,4U679,6
60,2019,1H024,6
61,2019,1H038,6
62,2019,1H062,2
63,2019,1H335,3
64,2019,1H364,3
65,2019,1H375,9
66,2019,1H398,6
67,2019,1H403,6
68,2019,1U025,3
69,2019,1U056,6
70,2019,1U078,6
71,2019,2H038,3
72,2019,2H062,2
73,2019,2H304,0
74,2019,2H312,9
75,2019,2H335,3
76,2019,2H364,3
77,2019,2H375,9
78,2019,2H401,3
79,2019,2H402,6
80,履修取消,2U015,0
81,2019,2U024,9
82,履修取消,2U026,0
83,履修取消,2U064,0
84,履修取消,2U102,0
85,履修取消,2U106,0
86,2019,3H037,6
87,2019,3H078,6
88,2019,3H353,3
89,2019,3H376,6
90,2019,3H378,9
91,2019,3H414,6
92,2019,3H422,6
93,履修取消,3U097,0
94,2019,3U114,3
95,2019,4H037,6
96,履修取消,4H049,0
97,2019,4H078,6
98,2019,4H353,3
99,2019,4H376,9
100,2019,4H378,6
101,2019,4H414,6
102,2019,4H422,6
103,履修取消,4U052,0
104,2019,4U114,6
